name,design,tool,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,mi
iron_ext,MSAdd,radon,3,8,4,8,11,12,28.75488750216347,41.51317942364757,1.5,62.26976913547136,3.4594316186372978,0.01383772647454919,mi
iron_ext,VSoftMax,radon,3,8,9,18,11,27,28.75488750216347,93.40465370320705,3.375,315.24070624832376,17.51337256935132,0.031134884567735683,mi
iron_ext,BBlock,radon,4,25,16,32,29,48,124.09640474436812,233.1830877661235,2.56,596.9487046812761,33.16381692673756,0.07772769592204117,mi
iron_ext,VVOp(Add),radon,4,10,5,10,14,15,41.219280948873624,57.110323830864054,2.0,114.22064766172811,6.345591536762672,0.019036774610288017,mi
iron_ext,VVOp(AddKern),radon,2,14,14,28,16,42,55.30296890880645,168.0,2.0,336.0,18.666666666666668,0.056,mi
iron_ext,ResNetConv2x,radon,7,58,66,130,65,196,359.41438217180234,1180.384091353577,7.844827586206897,9259.909682170304,514.4394267872391,0.3934613637845257,mi
iron_ext,VVOp(Mod),radon,4,10,5,10,14,15,41.219280948873624,57.110323830864054,2.0,114.22064766172811,6.345591536762672,0.019036774610288017,mi
iron_ext,MVAdd,radon,4,11,10,20,15,30,46.053747805010275,117.20671786825557,3.6363636363636362,426.2062467936566,23.67812482186981,0.03906890595608519,mi
iron_ext,VReduce(Min),radon,0,0,0,0,0,0,0,0,0,0,0.0,0.0,mi
iron_ext,VReLU,radon,2,11,10,20,13,30,40.053747805010275,111.01319154423277,1.8181818181818181,201.84216644405956,11.213453691336642,0.03700439718141092,mi
iron_ext,VReduce(Add),radon,0,0,0,0,0,0,0,0,0,0,0.0,0.0,mi
iron_ext,VVOp(MulKern),radon,2,14,14,28,16,42,55.30296890880645,168.0,2.0,336.0,18.666666666666668,0.056,mi
iron_ext,MVMul,radon,2,6,4,8,8,12,17.509775004326936,36.0,1.3333333333333333,48.0,2.6666666666666665,0.012,mi
iron_ext,ColorDetect,radon,2,6,4,8,8,12,17.509775004326936,36.0,1.3333333333333333,48.0,2.6666666666666665,0.012,mi
iron_ext,Copy(ExtKern),radon,6,12,7,14,18,21,58.52932501298082,87.56842503028855,3.5,306.4894876060099,17.02719375588944,0.029189475010096184,mi
iron_ext,GEMM,radon,11,96,118,235,107,353,670.2101478742413,2379.7378461996045,13.463541666666666,32039.699648051967,1779.9833137806647,0.7932459487332015,mi
iron_ext,Conv2D(),radon,2,12,9,18,14,27,45.01955000865388,102.7985828955553,1.5,154.19787434333296,8.566548574629609,0.03426619429851843,mi
